"id";"first";"last";"age";"email";"salary"
1;"Mirko";"Stefanovic";49;"Mirkac@gmail.com";3500
4;"Golum";"Petrovic";390;"gole@gmail.com";36000
5;"Saruman";"Cirpovic";98;"saki@gmail.com";6000
6;"Frodo";"Baggins";31;"Sarke1@gmail.com";5600
9;"Simon";"Cooper";35;"cooper@gmail.com";4500
10;"Mirko";"Kovic";46;"miki@gmail.com";5300
14;"Marko";"Kraljevic";45;"markic@gmail.com";55000
15;"Damir";"Papcevic";34;"damir@gmail.com";3000
16;"Milan";"Trkulja";33;"miki@gmail.com";2000
18;"Mirko";"Markovic";56;"bla@gmail.com";4000
19;"Rick";"Davidson";36;"ricky@gmail.com";3000
20;"Sonja";"Popovic";46;"sonja@gmail.com";3000
21;"Nemanja";"Mirkovic";37;"nem@gmail.com";2000
22;"John";"Stevens";40;"john@gmail.com";4000
23;"Derek";"Trotter";46;"Delboy@gmail.com";3000
24;"Rodney ";"Trotter";26;"rodders1@gmail.com";3500
